row	case	parameter	cell	kind	left_fold	right_fold	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	mu0_partial_sum	muhalf_partial_sum
17	caustic-cross	a	3	empty	0	0	0.67004418472761151	0.81649658092772603	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	4	empty	0	0	0.81649658092772603	0.83746378957463308	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	5	arcs	0	0	0.83746378957463308	0.84972672439230301	256	1	128	44.519528457709782	49.373919161662251	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	6	arcs	0	0	0.84972672439230301	0.85720378575239498	256	1	128	16.067805719503465	9.297487337865098	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	7	arcs	0	1	0.85720378575239498	0.88965961535403337	256	1	128	-62.314082065430178	-60.690059803373707	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	8	empty	1	0	0.88965961535403337	1	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	9	empty	0	0	1	1.2330836802811773	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	10	empty	0	0	1.2330836802811773	1.2990013190433436	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	11	empty	0	1	1.2990013190433436	1.4027942668116613	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	12	arcs	1	1	1.4027942668116613	1.4148028287947072	256	1	128	-0.8614222734183723	-0.86136515339518349	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	13	empty	1	0	1.4148028287947072	1.6585311203645845	256	1	128	0	0	1280	0	-2.2764303811324558	-2.5682894580743358
17	caustic-cross	a	0	empty	0	1	0	0.55440951894073376	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
