case_id	profile	d_bin_index	epoch_index	target	warm_nodes	warm_panels	warm_splits	other_ms
4	uniform	0	15	0.0001	129	7	0	0.04513900000000015
4	uniform	0	23	0.0001	129	7	0	0.045317999999999914
4	uniform	1	0	0.001	67	5	0	0.02585900000000002
4	uniform	1	7	0.001	67	5	0	0.02333800000000001
4	uniform	1	15	0.001	67	5	0	0.02376699999999997
4	uniform	1	23	0.001	83	5	0	0.028074999999999933
4	uniform	1	0	0.0001	115	5	0	0.035495000000000027
4	uniform	1	7	0.0001	115	5	0	0.03195400000000009
4	uniform	1	15	0.0001	115	5	0	0.03142199999999992
4	uniform	1	23	0.0001	115	5	0	0.03486200000000006
4	uniform	2	0	0.001	104	8	0	0.03261
4	uniform	2	7	0.001	104	8	0	0.029416999999999943
4	uniform	2	15	0.001	104	8	0	0.029657000000000044
4	uniform	2	23	0.001	104	8	0	0.029289999999999927
4	uniform	2	0	0.0001	160	8	0	0.047911999999999955
4	uniform	2	7	0.0001	128	8	0	0.035273
4	uniform	2	15	0.0001	144	8	0	0.03814000000000023
4	uniform	2	23	0.0001	144	8	0	0.037847999999999715
4	uniform	3	0	0.001	45	3	0	0.020590999999999984
4	uniform	3	7	0.001	45	3	0	0.018814000000000004
4	uniform	3	15	0.001	45	3	0	0.018867999999999982
4	uniform	3	23	0.001	45	3	0	0.018704999999999986
4	uniform	3	0	0.0001	61	3	0	0.024475000000000025
4	uniform	3	7	0.0001	77	3	0	0.02808099999999998
4	uniform	3	15	0.0001	77	3	0	0.026878000000000027
4	uniform	3	23	0.0001	77	3	0	0.02666900000000004
4	uniform	4	0	0.001	37	3	0	0.01823199999999999
4	uniform	4	7	0.001	37	3	0	0.017036000000000016
4	uniform	4	15	0.001	37	3	0	0.017108000000000026
4	uniform	4	23	0.001	37	3	0	0.01688899999999998
4	uniform	4	0	0.0001	61	3	0	0.024620999999999997
4	uniform	4	7	0.0001	61	3	0	0.023087999999999984
4	uniform	4	15	0.0001	61	3	0	0.022894999999999985
4	uniform	4	23	0.0001	61	3	0	0.02316900000000005
5	linear	0	0	0.001	86	10	0	0.02549600000000002
5	linear	0	7	0.001	86	10	0	0.021242000000000094
5	linear	0	15	0.001	94	10	0	0.030531999999999893
5	linear	0	23	0.001	101	11	0	0.029263999999999957
5	linear	0	0	0.0001	102	10	0	0.02937999999999999
5	linear	0	7	0.0001	110	10	0	0.02673100000000006
5	linear	0	15	0.0001	110	10	0	0.033733999999999986
5	linear	0	23	0.0001	125	11	0	0.037065000000000015
5	linear	1	0	0.001	87	9	0	0.023491999999999874
5	linear	1	7	0.001	87	9	0	0.02047600000000005
5	linear	1	15	0.001	79	9	0	0.019274000000000013
5	linear	1	23	0.001	79	9	0	0.019850000000000062
5	linear	1	0	0.0001	95	9	0	0.026456000000000007
