case	config	profile	d_bin	epoch	rep	lane	index	role_hint	matched_final_role	matched_physical_real	role_match_valid	dominant_sweep_count	step_first	step_median	step_last	step_max	step_min	newton_step_last	aberth_to_newton_ratio_median	p_abs_last	nearest_sep_last
149	149	uniform	1	7	0	cold	1	1	1	1	True	0	1.699872858590226455386516922545213698E-26	2.155559036944236673447437390E-28	1.522696217841395582207664964337893845E-28	1.699872858590226455386516922545213698E-26	4.573909993515934299367651261590619192E-30	1.522696217841395582207659948350023670E-28	0.999999999999999999999999843	+4.846616645070699752606557808576326352e-20	+4.621886010284971223586612828813537399e-05
149	149	uniform	1	7	0	cold	2	2	2	-1	True	0	2.102799101876411289132573212144896616E-32	4.959544608649939470113800717E-36	4.959544608649939470113800717054191664E-36	2.102799101876411289132573212144896616E-32	4.959544608649939470113800717054191664E-36	4.959544608649939470113800717054191664E-36	1	+3.655656377514300540539860660125416705e-26	+1.442136602046612980366958938697368911e+00
149	149	uniform	1	7	0	cold	3	1	1	1	True	0	1.952676485198803198698922176101518164E-28	1.346886160283504733727664828E-30	8.636521943802625773520903852981404607E-31	1.952676485198803198698922176101518164E-28	1.233788849114660824788700608913125068E-31	8.636521943802625773520903960589836448E-31	1.000000000000000000000000000	+8.088905766426390582835107358856694738e-33	+6.945797282382015565848237468638148407e-05
149	149	uniform	1	7	0	cold	4	2	1	1	True	4	1.010127170132312731060402214126582353E-16	2.020254340221414033227146735E-16	3.234352434425660860186143343505303032E-68	7.070890190774775928457415246036497627E-16	3.234352434425660860186143343505303032E-68	3.234352434425660860186143343505303032E-68	1	+2.408861380748866740214290615445062612e-88	+2.108683065651884912072409936194094651e-05
149	149	uniform	1	7	0	cold	5	2	2	-1	True	6	6.405105636996318957084403361578116752E-15	1.731111305227959349843404688E-16	3.381073140245252702026988001716900301E-19	6.405105636996318957084403361578116752E-15	8.452682851318343622032382883987248289E-20	3.381073140245254010445702541033631789E-19	1.000000000000000145118723422	+1.469367938527859384960920671527807097e-39	+1.904157509246383001198668967089814382e-05
149	149	uniform	1	7	0	cold	6	2	1	1	True	0	6.500275468488538146778701344751458563E-16	1.723275557088484909940328836E-175	5.632021892354357029274506435053616953E-351	6.500275468488538146778701344751458563E-16	5.632021892354357029274506435053616953E-351	5.632021892354357029274506435053616953E-351	1	+1.303656242859884256957120675780356458e-370	+4.392107162090383805186852542693503087e-05
149	149	uniform	1	7	0	cold	7	2	2	-1	True	0	2.132959634040774413329970476323208300E-19	2.975402538512221577152006168E-21	6.197410510313193875282394266265475313E-23	2.132959634040774413329970476323208300E-19	6.197410510313193875282394266265352963E-23	6.197410510313193876146456360455486877E-23	0.9999999999999999998605769145	+4.701977403289150031874946148888982711e-38	+8.497434356687981506036097645925671403e-04
149	149	uniform	1	7	0	cold	8	2	1	1	True	0	2.152934827998486544295010838804522798E-19	1.922263239284365396099776123E-21	1.922263239284365396005579188601757046E-21	2.152934827998486544295010838804522798E-19	9.611316196421826820515012076037765468E-22	1.922263239284365417147042717250482041E-21	1.000000000000000008248660913	+1.504632769052528010199982767644474468e-36	+8.718744182754138553360028439582269660e-04
149	149	uniform	1	7	0	cold	9	2	1	1	True	0	2.241759577109412989306588916684364970E-17	2.037963251918092387064045191E-19	2.037963251918083774793158542916217193E-19	2.241759577109412989306588916684364970E-17	2.037963251918083774793158541096537588E-19	2.037963251918088087467168673596491914E-19	0.9999999999999978838313173355	+7.523163845262640050999913838222372338e-37	+2.804440780462957085073342406056185130e-04
149	149	uniform	1	7	0	cold	10	2	2	-1	True	0	3.242933429741401005826536795102830304E-19	6.197410510313193776433162305E-23	0E-36	3.242933429741401005826536795102830304E-19	0E-36	0E-36	0.999999999999999994237538531	+0.000000000000000000000000000000000000e+00	+8.497434356687980524234229723614644301e-04
