case_id	profile	d_bin_index	epoch_index	target	vbm_ms	cold_ms	warm_ms	radial_ms	warm_topology_ms	warm_without_topology_ms	warm_physical_ms
0	linear	2	7	0.001	0.2049459726549685	47.899925	47.843142	0.189699	47.563943	0.2791989999999984	0.24262099999999995
0	linear	2	15	0.001	0.20428100833669305	48.031277	47.824043	0.170846	47.601171	0.2228720000000024	0.190965
0	linear	2	23	0.001	0.20655797561630607	49.836342	49.652892	0.184042	49.373258	0.2796340000000015	0.2417589999999999
0	linear	2	0	0.0001	0.6805880111642182	35.093693	35.078493	0.252239	34.760664	0.31782900000000325	0.26668899999999995
0	linear	2	7	0.0001	0.7029480184428394	47.895143	47.871381	0.215813	47.558928	0.31245299999999787	0.2707270000000001
0	linear	2	15	0.0001	0.7751780212856829	47.952996	47.848803	0.203515	47.534703	0.31409999999999627	0.2722250000000001
0	linear	2	23	0.0001	0.7844759966246784	49.791688	49.744769	0.210962	49.446758	0.29801099999999536	0.257473
0	linear	3	0	0.001	0.4636209923774004	0.606044	0.598151	0.160976	0.43626	0.161891	0.12415400000000007
0	linear	3	7	0.001	0.4900009953416884	0.680616	0.558406	0.157098	0.352528	0.20587799999999995	0.17090600000000003
0	linear	3	15	0.001	0.5899749812670052	0.707208	0.579173	0.161004	0.369124	0.21004900000000004	0.17190499999999997
0	linear	3	23	0.001	0.6113899871706963	0.625312	0.519487	0.18004	0.279324	0.24016300000000002	0.20116400000000012
0	linear	3	0	0.0001	2.114078961312771	0.644196	0.644803	0.204503	0.438682	0.206121	0.15928900000000001
0	linear	3	7	0.0001	2.153036999516189	0.720971	0.62359	0.199665	0.350901	0.27268899999999996	0.229499
0	linear	3	15	0.0001	2.3813419975340366	0.765404	0.638649	0.202476	0.369152	0.26949700000000004	0.22627
0	linear	3	23	0.0001	2.6041530072689056	0.663304	0.551162	0.203146	0.278851	0.272311	0.22934400000000008
0	linear	4	0	0.001	0.1982130343094468	0.444077	0.442876	0.151768	0.288463	0.15441299999999997	0.1312
0	linear	4	7	0.001	0.16047799726948142	0.445353	0.289052	0.139882	0.134046	0.15500599999999998	0.13418799999999997
0	linear	4	15	0.001	0.15575002180412412	0.475166	0.378236	0.172444	0.157185	0.22105100000000003	0.19662000000000002
0	linear	4	23	0.001	0.11955201625823975	0.453987	0.304885	0.16172	0.114845	0.19004000000000001	0.163899
0	linear	4	0	0.0001	0.7278320263139904	0.500194	0.495721	0.207544	0.291184	0.20453700000000002	0.175898
0	linear	4	7	0.0001	0.6697280332446098	0.555253	0.420598	0.253944	0.136806	0.28379200000000004	0.25211400000000006
0	linear	4	15	0.0001	0.6024439935572445	0.591377	0.518246	0.282475	0.154027	0.36421899999999996	0.32177999999999995
0	linear	4	23	0.0001	0.5326480022631586	0.48995	0.35057	0.195845	0.115197	0.235373	0.20501099999999997
0	uniform	0	0	0.001	0.08514401270076632	49.502576	49.513048	0.248842	49.256204	0.25684400000000096	0.22359100000000007
0	uniform	0	7	0.001	0.08766696555539966	49.546764	49.392143	0.245285	49.051882	0.34026099999999815	0.30036299999999994
0	uniform	0	15	0.001	0.07964001270011067	49.708492	49.499919	0.260626	49.138923	0.3609960000000001	0.3223479999999999
0	uniform	0	23	0.001	0.08764903759583831	49.773173	49.685129	0.262681	49.320732	0.36439700000000386	0.327407
0	uniform	0	0	0.0001	0.15145394718274474	49.640546	49.645657	0.318852	49.313967	0.3316900000000018	0.2898399999999999
0	uniform	0	7	0.0001	0.15556596918031573	49.603711	49.445839	0.310532	49.08332	0.3625189999999989	0.3253189999999999
0	uniform	0	15	0.0001	0.15524099580943584	49.710031	49.564349	0.310852	49.115441	0.44890800000000297	0.405053
