case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations
5 5 linear 0.001 0 15 cartesian 13 0.067007999999999998 1.3135491801233925 1.313461481341154 6.6769207536194987e-05 1 3 2704
5 5 linear 0.001 0 23 cartesian 13 0.060858000000000002 1.3125464247662886 1.3122972003232878 0.00018991463438266726 1 3 2704
5 5 linear 0.0001 0 0 cartesian 149 0.73282000000000003 1.3033752288391534 1.3033867561632548 8.8441316800024364e-06 1 3 355216
5 5 linear 0.0001 0 7 cartesian 149 0.74302500000000005 1.3101258813085235 1.3101297305520578 2.938062883847066e-06 1 3 355216
5 5 linear 0.0001 0 15 cartesian 149 0.71290900000000001 1.3135036167160206 1.313461481341154 3.20796425819063e-05 1 3 355216
5 5 linear 0.0001 0 23 cartesian 38 0.12715599999999999 1.3122380000268561 1.3122972003232878 4.5111958188366063e-05 1 3 23104
6 6 uniform 0.001 0 0 cartesian 25 0.076109999999999997 1.0311455567177397 1.0308933909120461 0.00024460900410899289 1 3 10000
6 6 uniform 0.001 0 7 cartesian 25 0.072506000000000001 1.0318876930962941 1.0321183358257426 0.0002234653929134781 1 3 10000
6 6 uniform 0.001 0 15 cartesian 50 0.140873 1.0337369285047788 1.0336063680747971 0.0001263154272403541 1 3 40000
6 6 uniform 0.001 0 23 cartesian 50 0.11729100000000001 1.0349122875655845 1.0351974364244203 0.00027545359832101149 1 3 40000
6 6 uniform 0.0001 0 0 cartesian 149 0.45337300000000003 1.0309409349256717 1.0308933909120461 4.6119234098055716e-05 1 3 355216
6 6 uniform 0.0001 0 7 cartesian 149 0.44894899999999999 1.0320754382863428 1.0321183358257426 4.1562617299564559e-05 1 3 355216
6 6 uniform 0.0001 0 15 cartesian 149 0.450818 1.0336475273173691 1.0336063680747971 3.9821003278684179e-05 1 3 355216
6 6 uniform 0.0001 0 23 cartesian 75 0.20163600000000001 1.0351903073957032 1.0351974364244203 6.8866367576779437e-06 1 3 90000
6 6 linear 0.001 0 0 cartesian 25 0.076347999999999999 1.0316137828315606 1.0317423564416084 0.00012461794288571248 1 3 10000
6 6 linear 0.001 0 7 cartesian 25 0.073889999999999997 1.0327936977914316 1.033134736398494 0.0003301008039389137 1 3 10000
6 6 linear 0.001 0 15 cartesian 50 0.153499 1.03475405924296 1.0347362182400024 1.7242078360800571e-05 1 3 40000
6 6 linear 0.001 0 23 cartesian 50 0.13406299999999999 1.0361265689556767 1.0363654290645234 0.00023047865371424026 1 3 40000
6 6 linear 0.0001 0 0 cartesian 149 0.59995299999999996 1.0317720578214511 1.0317423564416084 2.8787593779849715e-05 1 3 355216
6 6 linear 0.0001 0 7 cartesian 149 0.57671499999999998 1.0331065612898083 1.033134736398494 2.7271475532716201e-05 1 3 355216
6 6 linear 0.0001 0 15 cartesian 75 0.23045099999999999 1.0348244247466074 1.0347362182400024 8.5245403659540378e-05 1 3 90000
6 6 linear 0.0001 0 23 cartesian 75 0.229629 1.0363391321384183 1.0363654290645234 2.5374183051296104e-05 1 3 90000
7 7 uniform 0.001 0 0 polar 27 11.881959999999999 1671.3035111486452 1671.3052329150528 1.030192674394931e-06 1 5 9288
7 7 uniform 0.001 0 7 polar 27 11.660392 1640.5079531075241 1640.5106640024323 1.6524701531600921e-06 1 3 9288
7 7 uniform 0.001 0 15 polar 27 11.358465000000001 1582.803833947964 1582.8089350139198 3.2227932525517471e-06 1 3 9288
7 7 uniform 0.001 0 23 polar 27 10.625106000000001 1492.1887739270301 1492.2020190700828 8.8762398679463176e-06 1 3 9288
7 7 uniform 0.0001 0 0 polar 100 112.321524 1671.3055877468619 1671.3052329150528 2.1230820205821627e-07 1 5 126400
7 7 uniform 0.0001 0 7 polar 100 110.321872 1640.5109765103232 1640.5106640024323 1.9049427577462786e-07 1 3 126400
7 7 uniform 0.0001 0 15 polar 100 106.296176 1582.8091589724502 1582.8089350139198 1.4149435562760229e-07 1 3 126400
7 7 uniform 0.0001 0 23 polar 100 101.897131 1492.203081921007 1492.2020190700828 7.1227012872025033e-07 1 3 126400
7 7 linear 0.001 0 0 polar 27 13.308612999999999 1749.607784849165 1749.6141532458228 3.639886340624509e-06 1 5 9288
7 7 linear 0.001 0 7 polar 27 12.971677 1708.0269431745699 1707.9211839243565 6.1922793164488185e-05 1 3 9288
7 7 linear 0.001 0 15 polar 27 12.520998000000001 1631.7952880872581 1631.7673163910065 1.7141963790194619e-05 1 3 9288
7 7 linear 0.001 0 23 polar 27 11.756003 1519.5959940866569 1519.6008663713758 3.2062924065843662e-06 1 3 9288
