case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations nested_error boundary_backstop
3 3 uniform 0.0001 0 0 cartesian 75 0.91611200000000004 1.3256965871911501 1.325696589946822 2.0786595769927714e-09 1 3 113 0.0007978640356507416 1
3 3 uniform 0.0001 0 7 cartesian 224 2.0497869999999998 1.3213734841085678 1.3213735326496301 3.6735306922236975e-08 1 3 105 0.00011639948381891863 1
3 3 uniform 0.0001 0 15 cartesian 75 0.88792000000000004 1.3130745029476907 1.3130745633955572 4.6035364765386725e-08 1 3 105 0.00087238502891895386 1
3 3 uniform 0.0001 0 23 cartesian 75 0.89521700000000004 1.300709660646411 1.3007094436091542 1.6686067584093337e-07 1 3 121 0.00019627778265651763 1
3 3 linear 0.001 0 0 cartesian 25 0.77868099999999996 1.3475229417177539 1.3475250893528099 1.5937625748008452e-06 1 3 97 0.0047103248734770009 1
3 3 linear 0.001 0 7 cartesian 25 0.75461500000000004 1.341065659277616 1.341065909833689 1.8683352634880477e-07 1 3 97 0.0020543685954874658 1
3 3 linear 0.001 0 15 cartesian 13 0.067498000000000002 1.3273225606768742 1.3288137906694035 0.0011222264571608279 1 3 2704 2.1232215531075127e-05 0
3 3 linear 0.001 0 23 cartesian 25 0.77300999999999997 1.3110861383098404 1.3110839032849007 1.7047154146197151e-06 1 3 97 0.0027583045374672821 1
3 3 linear 0.0001 0 0 cartesian 75 1.0117590000000001 1.3475229417177539 1.3475250893528099 1.5937625748008452e-06 1 3 97 0.00046234519230470283 1
3 3 linear 0.0001 0 7 cartesian 75 1.0956840000000001 1.3410656744765759 1.341065909833689 1.7550003426835853e-07 1 3 105 0.00014817176333847826 1
3 3 linear 0.0001 0 15 cartesian 75 1.004105 1.3288161856793628 1.3288137906694035 1.8023668749234686e-06 1 3 105 0.00060026746160324329 1
3 3 linear 0.0001 0 23 cartesian 75 1.0472490000000001 1.3110861651676782 1.3110839032849007 1.7252006312136383e-06 1 3 121 0.00015916335822008243 1
4 4 uniform 0.001 0 0 polar 27 11.501568000000001 1345.3073000116024 1345.3071782185129 9.053180670695137e-08 1 5 129 1.0737323260207177 1
4 4 uniform 0.001 0 7 polar 27 10.969442000000001 1303.2937327868206 1303.2936209863133 8.578305416654987e-08 1 5 129 1.3194133166828124 1
4 4 uniform 0.001 0 15 polar 27 10.878854 1250.5663817947307 1250.5662237252786 1.2639830584601266e-07 1 5 129 1.1651896243065494 1
4 4 uniform 0.001 0 23 polar 27 10.49305 1193.81222710714 1193.8120252778369 1.690628832259316e-07 1 3 129 1.3309719012024743 1
4 4 uniform 0.0001 0 0 polar 100 93.296796999999998 1345.3045739296053 1345.3071782185129 1.9358321651519643e-06 1 5 126400 0.018809931355917797 0
4 4 uniform 0.0001 0 7 polar 100 88.476799999999997 1303.2913197172313 1303.2936209863133 1.7657334041216239e-06 1 5 126400 0.02877092298763273 0
4 4 uniform 0.0001 0 15 polar 100 85.187357000000006 1250.5639547103704 1250.5662237252786 1.8143900460705102e-06 1 5 126400 0.024319284017565224 0
4 4 uniform 0.0001 0 23 polar 100 82.097261000000003 1193.8087445971817 1193.8120252778369 2.7480713762422945e-06 1 3 126400 0.023905146447077641 0
4 4 linear 0.001 0 0 polar 27 12.714173000000001 1410.8379257669244 1410.8375122183993 2.9312271719540979e-07 1 5 129 0.76829268841902376 1
4 4 linear 0.001 0 7 polar 27 12.163627 1366.2515279643724 1366.2442979025279 5.2919246254410102e-06 1 5 129 0.91336355680414272 1
4 4 linear 0.001 0 15 polar 27 11.889872 1308.9581729000367 1308.9799442537778 1.6632305052999641e-05 1 5 129 0.80776075178687279 1
4 4 linear 0.001 0 23 polar 27 11.533834000000001 1246.4112510275327 1246.4261413689471 1.19464290103086e-05 1 3 129 0.87362671604273601 1
4 4 linear 0.0001 0 0 polar 100 109.32943899999999 1410.8364064133939 1410.8375122183993 7.8379331130070697e-07 1 5 126400 0.015563614476377552 0
4 4 linear 0.0001 0 7 polar 100 103.52262899999999 1366.2504513202869 1366.2442979025279 4.503892728680032e-06 1 5 126400 0.019308020757762279 0
4 4 linear 0.0001 0 15 polar 100 99.445746 1308.9567413448613 1308.9799442537778 1.7725946847719659e-05 1 5 126400 0.01549613870633948 0
4 4 linear 0.0001 0 23 polar 100 95.023139999999998 1246.4083568421734 1246.4261413689471 1.4268416060524791e-05 1 3 126400 0.013072821117248168 0
5 5 uniform 0.001 0 0 cartesian 13 0.107851 1.2708510358912926 1.2705432920063231 0.00024221440300825774 1 3 2704 0.00020332097319797349 0
5 5 uniform 0.001 0 7 cartesian 25 0.62596300000000005 1.2735754491861955 1.2735764097459048 7.5422228456663906e-07 1 3 110 0.0012773262432168586 1
5 5 uniform 0.001 0 15 cartesian 25 0.64146400000000003 1.2752604244113912 1.2752603728123326 4.0461587046447091e-08 1 3 110 0.0016321988089469386 1
5 5 uniform 0.001 0 23 cartesian 13 0.570604 1.2752273758250265 1.2752277558838852 2.9803214120231881e-07 1 3 117 0.0047776634833280873 1
