type	row	name	axis	h_index	offset	resolution	nr	subdivisions	angular	mu0	mu_half	fail	segment	node	kind	sturm_roots	fail_R	radial_nodes	arc_nodes	full_nodes	empty_nodes	min_phi
FD5	99	rand035	X	0	0.001	0	17.044414675676453	16.919373009787297
FD5	99	rand035	X	0	0.001	1	17.044414675676453	16.919373009786312
FD5	99	rand035	X	0	0.001	2	17.042617384580552	16.91829463511344
FD5	99	rand035	X	0	0.001	3	17.04260957791308	16.918289951115121
FD5	99	rand035	X	0	0.001	4	17.042609577897355	16.918289951115121
FD5	99	rand035	X	1	0.00050000000000000001	0	16.875417066288687	16.817974444140287
FD5	99	rand035	X	1	0.00050000000000000001	1	16.875417066288687	16.817974444154046
FD5	99	rand035	X	1	0.00050000000000000001	2	17.017111170499504	16.90299090666678
FD5	99	rand035	X	1	0.00050000000000000001	3	17.041809788097751	16.91781007721865
FD5	99	rand035	X	1	0.00050000000000000001	4	17.042605917809684	16.918287755035589
FD5	99	rand035	X	1	0.00050000000000000001	5	17.042609569144428	16.918289945863954
FD5	99	rand035	X	2	0.00025000000000000001	0	16.984151414461554	16.883215053033787
FD5	99	rand035	X	2	0.00025000000000000001	1	16.984151414461554	16.883215053033787
FD5	99	rand035	X	2	0.00025000000000000001	2	17.042494100866254	16.918220664893116
FD5	99	rand035	X	2	0.00025000000000000001	3	17.04279672742188	16.918402240833569
FD5	99	rand035	X	2	0.00025000000000000001	4	17.042610492726642	16.918290500018784
FD5	99	rand035	X	2	0.00025000000000000001	5	17.042609580090993	16.918289952387862
FD5	99	rand035	Y	0	0.001	0	36.024575440714386	35.756146532820203
FD5	99	rand035	Y	0	0.001	1	36.024575440714386	35.756146532820203
FD5	99	rand035	Y	0	0.001	2	36.009134456504349	35.746881942256437
FD5	99	rand035	Y	0	0.001	3	36.009905982616843	35.747344857949294
FD5	99	rand035	Y	0	0.001	4	36.010185283057126	35.747512438208943
FD5	99	rand035	Y	1	0.00050000000000000001	0	36.027998727884025	35.758200505070882
FD5	99	rand035	Y	1	0.00050000000000000001	1	36.027998727884025	35.758200505100362
FD5	99	rand035	Y	1	0.00050000000000000001	2	36.011066074874606	35.748040913341498
FD5	99	rand035	Y	1	0.00050000000000000001	3	36.01020660605537	35.747525231976041
FD5	99	rand035	Y	1	0.00050000000000000001	4	36.010206446969491	35.747525136548894
FD5	99	rand035	Y	1	0.00050000000000000001	5	36.010206446983254	35.747525136584272
FD5	99	rand035	Y	2	0.00025000000000000001	0	36.028093355804451	35.75825728183375
FD5	99	rand035	Y	2	0.00025000000000000001	1	36.028093355804451	35.758257281798365
FD5	99	rand035	Y	2	0.00025000000000000001	2	36.011098369130352	35.748060289784476
FD5	99	rand035	Y	2	0.00025000000000000001	3	36.010207046479152	35.747525496250361
FD5	99	rand035	Y	2	0.00025000000000000001	4	36.010206446955735	35.747525136517446
FD5	99	rand035	Y	2	0.00025000000000000001	5	36.010206446936074	35.747525136525304
