name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.5,0,0,1.0e-06,1,0,Converged,6.1205016227777005,5.8046703e-06,248,248,177,0,1.158227,0.288822,0.866620,0.000023,0.001299,0.440127,0.001618,8,0,0,8,1,248,56,56,0,0,0.350757,0.018291,0.002973,0.942424,6.1209627244296385,0,1.1649494e-09,5.4426041e-14,9.9922099e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,0,0,Converged,6.1205016227777005,5.8046703e-06,248,425,0,0,1.403597,0.288530,1.113011,0.000023,0.001320,0.436220,0.001572,8,0,0,8,1,425,56,56,0,0,0.560745,0.017677,0.003080,0.937869,6.1209627244296385,0,1.1649494e-09,5.4454936e-14,9.9922099e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,1,0,Converged,6.1205016227172306,3.6030366e-08,328,328,254,0,1.292503,0.282917,1.006439,0.000024,0.001344,0.436802,0.001678,8,0,0,8,1,328,56,56,0,0,0.472515,0.024742,0.003570,0.947874,6.1209627244296385,0,1.3394823e-09,5.4717336e-14,9.9628559e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,0,0,Converged,6.1205016227172315,3.6030366e-08,328,582,0,0,1.684186,0.284394,1.397221,0.000023,0.001345,0.426970,0.001685,8,0,0,8,1,582,56,56,0,0,0.785499,0.025500,0.003809,0.939628,6.1209627244296385,0,1.3394822e-09,5.4678318e-14,9.9628559e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-03,1,0,Converged,6.1294544594355331,0.0043589451,128,128,64,0,0.918884,0.173320,0.744048,0.000019,0.002536,0.437190,0.001787,8,0,0,8,1,128,56,56,0,0,0.260129,0.008575,0.001983,0.833581,6.1299183453595569,0,1.4330001e-09,5.3903803e-14,1.0213417e-14,2.7220246e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-03,0,0,Converged,6.1294544594355331,0.0043589451,128,192,0,0,0.930531,0.171617,0.756953,0.000023,0.001326,0.419012,0.001685,8,0,0,8,1,192,56,56,0,0,0.282823,0.008483,0.001896,0.819144,6.1299183453595569,0,1.4330001e-09,5.3879827e-14,1.0213417e-14,2.7220246e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-04,1,0,Converged,6.1294554772635701,0.00044604833,176,176,109,0,0.919130,0.172963,0.744398,0.000023,0.001378,0.432279,0.001697,8,0,0,8,1,176,56,56,0,0,0.256720,0.011880,0.002383,0.823869,6.1299183453595569,0,1.303405e-09,5.4062203e-14,1.014538e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-04,0,0,Converged,6.129455477263571,0.00044604833,176,285,0,0,1.053508,0.169374,0.881633,0.000023,0.001372,0.421932,0.001640,8,0,0,8,1,285,56,56,0,0,0.382061,0.011648,0.002298,0.824574,6.1299183453595569,0,1.303405e-09,5.40377e-14,1.014538e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-05,1,0,Converged,6.1294554708994573,5.994416e-05,208,208,139,0,0.970841,0.170385,0.798499,0.000022,0.001294,0.420267,0.001722,8,0,0,8,1,208,56,56,0,0,0.314155,0.013305,0.002651,0.818076,6.1299183453595569,0,1.2016458e-09,5.404297e-14,1.0076736e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-05,0,0,Converged,6.1294554708994573,5.994416e-05,208,347,0,0,1.181413,0.173221,1.005421,0.000022,0.001315,0.434244,0.001633,8,0,0,8,1,347,56,56,0,0,0.479953,0.013081,0.002576,0.820244,6.1299183453595569,0,1.2016458e-09,5.4047045e-14,1.0076736e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-06,1,0,Converged,6.1294554709811564,1.2757245e-06,264,264,192,0,1.074166,0.173024,0.898964,0.000022,0.001327,0.416924,0.001609,8,0,0,8,1,264,56,56,0,0,0.405323,0.017930,0.003324,0.821731,6.1299183453595569,0,1.4692614e-09,5.4182247e-14,1.0076705e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-06,0,0,Converged,6.1294554709811564,1.2757245e-06,264,456,0,0,1.385752,0.179477,1.202963,0.000023,0.001403,0.419908,0.001633,8,0,0,8,1,456,56,56,0,0,0.659847,0.019232,0.003112,0.822246,6.1299183453595569,0,1.4692614e-09,5.4183059e-14,1.0076705e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
