max_level grad_rtol kind name u parameter rounds tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
6 0.01 budget rand030 0 2 8 0.001 3 177 1 2.5376970830853254 0.01274606679491549 0.25518222373197896 2 0 0 Converged 2 0.25477560276408351 0 3.6107548402525531e-08
6 0.01 budget rand030 0 2 32 0.001 3 421 1 2.5376970830853254 0.012998690199456217 0.00044505402721922179 2 0 0 Converged 4 3.8306873272366389e-05 0 1.2444373419086613e-07
6 0.01 budget rand030 0 2 64 0.001 3 421 1 2.5376970830853254 0.012998690199456217 0.00044505402721922179 2 0 0 Converged 4 3.8306873272366389e-05 0 1.2444373419086613e-07
6 0.001 budget rand030 0 2 8 0.001 3 177 1 2.5376970830853254 0.01274606679491549 0.25518222373197896 2 0 0 Converged 2 0.25477560276408351 0 3.6107548402525531e-08
6 0.001 budget rand030 0 2 32 0.001 3 421 1 2.5376970830853254 0.012998690199456217 0.00044505402721922179 2 0 0 Converged 4 3.8306873272366389e-05 0 1.2444373419086613e-07
6 0.001 budget rand030 0 2 64 0.001 3 421 1 2.5376970830853254 0.012998690199456217 0.00044505402721922179 2 0 0 Converged 4 3.8306873272366389e-05 0 1.2444373419086613e-07
8 0.01 budget rand030 0 2 8 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004130974704157044 2 0 0 Converged 4 6.3503216645866955e-06 0 1.2443853845767274e-07
8 0.01 budget rand030 0 2 32 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004130974704157044 2 0 0 Converged 4 6.3503216645866955e-06 0 1.2443853845767274e-07
8 0.01 budget rand030 0 2 64 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004130974704157044 2 0 0 Converged 4 6.3503216645866955e-06 0 1.2443853845767274e-07
8 0.001 budget rand030 0 2 8 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004130974704157044 2 0 0 Converged 4 6.3503216645866955e-06 0 1.2443853845767274e-07
8 0.001 budget rand030 0 2 32 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004130974704157044 2 0 0 Converged 4 6.3503216645866955e-06 0 1.2443853845767274e-07
8 0.001 budget rand030 0 2 64 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004130974704157044 2 0 0 Converged 4 6.3503216645866955e-06 0 1.2443853845767274e-07
