case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes
1 linear 2 7 1.0792440000000001 61.726821096618707 1 98 0.81710400000000005 0.015675999999999999 0.20357199999999998 0.0070279999999999995 0.001472 0.002722 0.010135999999999999 0.053696000000000001 0.104336 0 0.026209 0.00091600000000000004 0.52438899999999999 0.00076400000000000003 0.0040270000000000002 0.10926400000000006 0.049918000000000018 0.011202999999999998 0 1 35 35
1 linear 2 15 1.11425 57.52837415956558 1 98 0.85245400000000005 0.015509999999999999 0.20375800000000008 0.0065649999999999997 0.0012749999999999999 0.0039050000000000001 0.0099909999999999999 0.060035999999999999 0.126775 0 0.026134999999999999 0.00088500000000000004 0.53026899999999999 0.00072199999999999999 0.003999 0.11118600000000003 0.048748000000000007 0.011145000000000006 0 2 35 35
1 linear 2 23 0.94237400000000004 54.635942833419847 1 98 0.68951899999999999 0.013816 0.19833099999999992 0.0061170000000000009 0.001178 0.0027190000000000001 0.011269 0.054746999999999997 0.10517 0 0.025680999999999999 0.00082799999999999996 0.39243600000000006 0.00075299999999999998 0.0036519999999999999 0.10740200000000007 0.048082000000000007 0.010825999999999999 0 3 33 33
1 linear 3 0 0.77146000000000003 39.628916313831432 1 99 0.53200800000000004 0.013913999999999999 0.18051699999999998 0.0068150000000000007 0.0013359999999999999 0.0028649999999999999 0.01068 0.18883 0.041688999999999997 0 0.026594 0.00089499999999999996 0.16424800000000003 0.00074200000000000004 0.0037680000000000001 0.087136000000000061 0.046516999999999961 0.010976999999999999 0 0 0 0
1 linear 3 7 0.66502499999999998 40.277993129560507 1 99 0.37301699999999999 0.013676000000000001 0.23295099999999985 0.0067219999999999997 0.0013259999999999999 0.0024889999999999999 0.0096640000000000007 0.055264000000000001 0.041196999999999998 0 0.025614999999999999 0.00077300000000000003 0.14705400000000002 0.00062299999999999996 0.0038080000000000002 0.14144999999999999 0.045494999999999987 0.010928999999999998 0 1 70 70
1 linear 3 15 0.66062799999999999 41.074030933436454 1 99 0.371562 0.013606999999999999 0.23167099999999996 0.0061250000000000002 0.001273 0.0025170000000000001 0.0094280000000000006 0.059178000000000001 0.072415999999999994 0 0.026148000000000001 0.00080099999999999995 0.10946399999999999 0.00065600000000000001 0.0036979999999999995 0.13880400000000001 0.04728899999999997 0.010945000000000003 0 2 70 70
1 linear 3 23 0.75680199999999997 41.937646541494267 1 99 0.46942699999999998 0.013394 0.23039900000000005 0.0061459999999999996 0.001134 0.002477 0.0093100000000000006 0.056963 0.042363999999999999 0 0.025409000000000001 0.00070299999999999996 0.24149499999999999 0.00057799999999999995 0.0036110000000000001 0.13777299999999998 0.046883999999999933 0.010952 0 3 70 70
1 linear 4 0 0.51637500000000003 3.862039645317104 1 61 0.36260999999999999 0.0085520000000000006 0.11769500000000001 0.0035280000000000003 0.00084800000000000001 0.0028059999999999999 0.0098639999999999995 0.18751499999999999 0.053749999999999999 0 0.025309999999999999 0.00079900000000000001 0.0022340000000000003 0.001219 0.0032300000000000002 0.043281 0.029166999999999998 0.0054870000000000014 0 0 0 0
1 linear 4 7 0.41156999999999999 3.8558056817096729 1 61 0.239289 0.0084670000000000006 0.13607500000000003 0.0037080000000000004 0.00079499999999999992 0.0024989999999999999 0.009476 0.058319999999999997 0.063048999999999994 0 0.025187999999999999 0.00074100000000000001 0.0021389999999999998 0.0011479999999999999 0.0031400000000000004 0.065137999999999988 0.025863999999999995 0.0054790000000000021 0 1 24 24
1 linear 4 15 0.409107 3.8487264671009735 1 61 0.23717299999999999 0.0081829999999999993 0.13633300000000001 0.0035969999999999999 0.00074200000000000004 0.002565 0.009299 0.057678 0.062836000000000003 0 0.025226999999999999 0.00082299999999999995 0.002049 0.001078 0.0031579999999999998 0.065774999999999986 0.025336999999999998 0.0054810000000000006 0 2 24 24
1 linear 4 23 0.54954499999999995 3.8416950743619886 1 61 0.37456699999999998 0.0082950000000000003 0.13813099999999998 0.0042469999999999999 0.00076900000000000004 0.00249 0.0089610000000000002 0.054900999999999998 0.072969000000000006 0 0.025226999999999999 0.00071500000000000003 0.132631 0.001111 0.0032139999999999998 0.066541000000000017 0.026545999999999997 0.0054790000000000021 0 3 24 24
1 uniform 0 0 0.48532700000000001 41.922282457400435 1 67 0.35536699999999999 0.011457999999999999 0.091286999999999965 0.0038500000000000001 0.001042 0.0026949999999999999 0.010175999999999999 0.19223599999999999 0.033732999999999999 0 0.025582000000000001 0.00073999999999999999 0.0044289999999999998 0.0010690000000000001 0.003578 0.052674999999999986 0.028486999999999981 0 0 0 0 0
1 uniform 0 7 0.365089 43.987607710301795 1 67 0.21440699999999999 0.011195 0.11297099999999997 0.0032819999999999998 0.00095800000000000008 0.0024859999999999999 0.0093570000000000007 0.055702000000000002 0.032946999999999997 0 0.024736999999999999 0.00073099999999999999 0.0044759999999999999 0.0009810000000000001 0.0036069999999999995 0.074047000000000016 0.028865000000000009 0 0 1 32 32
1 uniform 0 15 0.36869800000000003 45.910498225245647 1 67 0.216748 0.011161000000000001 0.11421700000000001 0.0033240000000000001 0.00089700000000000001 0.002385 0.0092010000000000008 0.057043000000000003 0.032596 0 0.025614000000000001 0.00074399999999999998 0.0044050000000000001 0.000941 0.0036030000000000007 0.076237000000000027 0.027915000000000009 0 0 2 32 32
