case_id profile d_bin epoch target lane whole_ms topology_ms seed_ms band_ms mu reference relerr converged stop status support seeds bands probes nodes panels splits g0 g1 g2 g3 g4 q0 q1 q2 q3 q4
0 linear 0 23 0.0001 seed-warm-jac 5.3632020000000002 3.9662869999999999 0.001085 3.9210389999999999 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 -364.96984813429555 7950.1143280014949 -22878.162635923287 -2135.8006867981835 -148530.6988659474 Invalid Invalid Invalid Invalid Invalid
0 linear 1 0 0.001 d14-value 1.35934 0.86368500000000004 0 0 589.77492952399029 589.76910771294774 9.8713394215029101e-06 1 Converged OK 0 0 0 0 137 7 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 0 0.001 seed-cold-value 20.259620999999999 5.5720499999999999 1.3047359999999999 4.254194 589.76742412984879 589.76910771294774 2.8546478222313838e-06 1 Converged OK 1 113 4 535 1994 8 6 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 0 0.001 seed-warm-value 17.478034999999998 5.8667439999999997 1.338902 4.5107869999999997 589.76742412984879 589.76910771294774 2.8546478222313838e-06 1 Converged OK 1 113 4 535 1994 8 6 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 0 0.001 d14-jac 3.0971030000000002 0.91304200000000002 0 0 589.77492952399029 589.76910771294774 9.8713394215029101e-06 1 Converged OK 0 0 0 0 377 7 0 164365.66220822887 6006780.5838905834 2263714.3108420419 -234.11231099616452 36682.118012721956 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 0 0.001 seed-cold-jac 21.972110000000001 5.6848470000000004 1.340204 4.3272599999999999 589.76742412984879 589.76910771294774 2.8546478222313838e-06 1 Converged OK 1 113 4 535 2144 9 7 170840.54003051794 5950117.006475308 2202225.2008822975 662.19325069872468 51705.935171930767 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 0 0.001 seed-warm-jac 19.056932 4.456893 0.001931 4.4383809999999997 589.76742412984879 589.76910771294774 2.8546478222313838e-06 1 Converged OK 1 113 4 535 2144 9 7 170840.54003051794 5950117.006475308 2202225.2008822975 662.19325069872468 51705.935171930767 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 7 0.001 d14-value 1.2355320000000001 0.77647999999999995 0 0 593.09247514324659 593.08183624951698 1.7938323312822058e-05 1 Converged OK 0 0 0 0 121 7 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 7 0.001 seed-cold-value 16.998540999999999 5.8214050000000004 1.420552 4.3849260000000001 593.08795774975908 593.08183624951698 1.0321510233415472e-05 1 Converged OK 1 113 4 535 1994 8 6 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 7 0.001 seed-warm-value 13.39438 4.3496079999999999 0.138852 4.1933309999999997 593.08795774975908 593.08183624951698 1.0321510233415472e-05 1 Converged OK 1 113 4 535 1994 8 6 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 7 0.001 d14-jac 2.0789569999999999 0.77059500000000003 0 0 593.09247514324659 593.08183624951698 1.7938323312822058e-05 1 Converged OK 0 0 0 0 249 7 0 151124.6018868016 6138106.5087103527 2357620.1907316735 -260.62573895160841 32905.842215590346 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 7 0.001 seed-cold-jac 22.679214999999999 5.8448060000000002 1.4515750000000001 4.377319 593.08795774975908 593.08183624951698 1.0321510233415472e-05 1 Converged OK 1 113 4 535 2144 9 7 178354.81554354914 6089174.2804455813 2297792.4282676624 1560.5092060900311 66953.713553806097 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
