rounds panel cell depth level slot R jac weight grad cold fd fdhalf value coldvalue reliable a b
0 3 7 0 6 33 0.8807298564538375 0.017024180839278879 0.049516418919426049 -19.955301971379729 -19.955301971379843 -19.955302071818814 -19.955302156493669 6.5985289515063643 6.5985289515063714 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 34 0.87987709044320117 0.017818528603107248 0.048362856154665609 -19.342257755602276 -19.34225775560234 -19.342257683141405 -19.342258022451542 7.2114483090594375 7.2114483090594419 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 35 0.87898983617470594 0.018609044438964585 0.049044245345541533 -18.727570914878928 -18.72757091487896 -18.727570874984892 -18.727570882918403 7.8467221443781652 7.8467221443781776 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 36 0.87807092971423029 0.01939382392496131 0.047656032084111746 -18.12130882517442 -18.121308825174374 -18.121308804065698 -18.121308649728121 8.5024557452215532 8.5024557452215728 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 37 0.87712355338038006 0.020170976458577086 0.048104445073650699 -17.535831213530095 -17.535831213530123 -17.535831222798649 -17.535831443516695 9.1767315068904622 9.1767315068904765 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 38 0.87615121874992918 0.020938629811287909 0.04648555855821368 -16.986238448181187 -16.986238448181215 -16.986238486924954 -16.986238394682648 9.867682692609252 9.867682692609268 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 39 0.87515774635963783 0.021694934638928614 0.046706067999326077 -16.490913018697096 -16.490913018697121 -16.490912989113014 -16.490912924369265 10.57357793664297 10.573577936642987 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 40 0.8741472422673574 0.022438068936924929 0.044862709063260148 -16.072172583069928 -16.072172583069975 -16.072172728511784 -16.072172757209557 11.292916139380297 11.29291613938031 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 41 0.87312407166598094 0.023166242429662105 0.044862579727657795 -15.757056489977913 -15.757056489977938 -15.757056472598455 -15.757056498935421 12.024530790756248 12.024530790756266 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 42 0.87209282977265079 0.023877700883415679 0.042803114473290348 -15.578272464143888 -15.57827246414392 -15.578272502940111 -15.578272143258218 12.767701914934491 12.767701914934513 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 43 0.87105831024243308 0.024570730332454147 0.042591731599818577 -15.57533719010577 -15.575337190105799 -15.575337103743095 -15.57533716659389 13.52227271615318 13.522272716153205 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 44 0.87002547138013198 0.025243661208132567 0.040326612911957362 -15.795955735487363 -15.795955735487393 -15.795955620632945 -15.795955699554424 14.288766602117601 14.288766602117624 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 45 0.86899940044582569 0.02589487236102966 0.039915389201356531 -16.297703498664262 -16.297703498664145 -16.297703296192463 -16.297703266753402 15.068498583196808 15.06849858319676 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 46 0.86798527636883493 0.026522794966438716 0.037457059432884354 -17.150106498615788 -17.150106498615809 -17.150106495679619 -17.150106691673646 15.863673170955218 15.863673170955245 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 47 0.86698833120100638 0.027125916303803801 0.036859320775039686 -18.437271226223459 -18.437271226223494 -18.437271215680859 -18.437271038358929 16.677458996945049 16.677458996945074 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 48 0.86601381065324212 0.027702783400995995 0.034222097692524642 -20.261310377998935 -20.261310377998967 -20.261310084814848 -20.261310084814848 17.514028726658225 17.514028726658253 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 49 0.86506693406901558 0.028252006534650577 0.0334529470583768 -22.746972897579468 -22.746972897579511 -22.746972902034432 -22.746973038539387 18.378551861857709 18.378551861857737 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 50 0.86415285419507026 0.028772262578132316 0.03065289661566712 -26.048162023081694 -26.048162023081737 -26.048161788040474 -26.048162376825434 19.277128210389808 19.27712821038984 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 51 0.86327661711255754 0.029262298189063406 0.029729053685868801 -30.357494543499765 -30.357494543499818 -30.35749481098323 -30.357494045833459 20.216651672313855 20.21665167231389 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 52 0.8624431226914766 0.029720932828735076 0.0267838566530679 -35.920868496805696 -35.92086849680576 -35.920868411376716 -35.920868808394985 21.204597930429745 21.204597930429781 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 53 0.86165708592746038 0.030147061606128688 0.025723465470155273 -43.06046171167344 -43.060461711673504 -43.060461585201644 -43.060460942578381 22.248735710675223 22.248735710675259 1 0.85720378575239498 0.88965961535403337
