case_id configuration_id profile d_bin_index epoch_index lane stage candidate_converged candidate_finite scalar_certificate residual ambiguous_roots oracle_tier candidate_positive oracle_positive candidate_physical oracle_physical candidate_real_soft oracle_real_soft candidate_complex_soft oracle_complex_soft positive_radius_maxdiff soft_radius_maxdiff candidate_cells oracle_cells candidate_topology_status oracle_topology_status rtol candidate_stop oracle_stop candidate_value_converged oracle_value_converged candidate_mu oracle_mu mu_absdiff local_attempts local_successes local_max_shift event_build_ms positive_certificate positive_count positive_certificate_ms positive_reason exact_positive_certificate exact_positive_count exact_positive_ms
149 149 linear 1 15 cold d14real_local 0 1 1 1.6050621220028973e-25 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 7.1054273576010019e-15 14 14 0 0 0.0001 0 0 1 1 295.21528638097493 295.21528638116973 1.9480239643598907e-10 8 8 1.2878587085651816e-14 0.12463299999999999 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold d14real_nosoft 0 1 1 1.6050621220028973e-25 0 2 8 8 8 8 0 0 0 3 1.2989609388114332e-14 -1 11 14 0 0 0.001 0 0 1 1 295.2152915299618 295.21528638717774 5.1427840617179754e-06 0 0 0 0.007509 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold d14real_nosoft 0 1 1 1.6050621220028973e-25 0 2 8 8 8 8 0 0 0 3 1.2989609388114332e-14 -1 11 14 0 0 0.0001 0 0 1 1 295.2152863911893 295.21528638116973 1.0019562068919186e-08 0 0 0 0.007509 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold qf_warm 0 1 1 6.2391962333766921e-27 0 2 8 8 8 8 0 0 3 3 0 1.1102230246251565e-16 14 14 0 0 0.001 0 0 1 1 295.2152863870358 295.21528638717774 1.4193801689543761e-10 0 0 0 0.011694 0 0 0.30597999999999997 ChainPivotUncertain 1 8 95.197530999999998
149 149 linear 1 15 cold qf_warm 0 1 1 6.2391962333766921e-27 0 2 8 8 8 8 0 0 3 3 0 1.1102230246251565e-16 14 14 0 0 0.0001 0 0 1 1 295.21528638102779 295.21528638116973 1.4193801689543761e-10 0 0 0 0.011694 0 0 0.30597999999999997 ChainPivotUncertain 1 8 95.197530999999998
149 149 linear 1 15 cold qf_warm_local 0 1 1 6.2391962333766921e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.1102230246251565e-16 14 14 0 0 0.001 0 0 1 1 295.2152863870358 295.21528638717774 1.4193801689543761e-10 8 8 1.1102230246251565e-16 0.11298999999999999 0 0 0.30597999999999997 ChainPivotUncertain 1 8 95.197530999999998
149 149 linear 1 15 cold qf_warm_local 0 1 1 6.2391962333766921e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.1102230246251565e-16 14 14 0 0 0.0001 0 0 1 1 295.21528638102779 295.21528638116973 1.4193801689543761e-10 8 8 1.1102230246251565e-16 0.11298999999999999 0 0 0.30597999999999997 ChainPivotUncertain 1 8 95.197530999999998
149 149 linear 1 15 cold qf_warm_nosoft 0 1 1 6.2391962333766921e-27 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 295.2152915299618 295.21528638717774 5.1427840617179754e-06 0 0 0 0.00777 0 0 0.30597999999999997 ChainPivotUncertain 1 8 95.197530999999998
149 149 linear 1 15 cold qf_warm_nosoft 0 1 1 6.2391962333766921e-27 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 295.2152863911893 295.21528638116973 1.0019562068919186e-08 0 0 0 0.00777 0 0 0.30597999999999997 ChainPivotUncertain 1 8 95.197530999999998
149 149 linear 1 15 cold oracle_nosoft 1 1 1 inf 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 295.2152915299618 295.21528638717774 5.1427840617179754e-06 0 0 0 0.007607 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold oracle_nosoft 1 1 1 inf 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 295.2152863911893 295.21528638116973 1.0019562068919186e-08 0 0 0 0.007607 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold d14real 1 1 1 8.5287012464300061e-26 0 0 8 8 8 8 0 0 3 3 0 5.8841820305133297e-15 14 14 0 0 0.001 0 0 1 1 224.72740275999161 224.72740276010526 1.1365841601218563e-10 0 0 0 0.0082909999999999998 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold d14real 1 1 1 8.5287012464300061e-26 0 0 8 8 8 8 0 0 3 3 0 5.8841820305133297e-15 14 14 0 0 0.0001 0 0 1 1 224.72742600147134 224.727426001585 1.1365841601218563e-10 0 0 0 0.0082909999999999998 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold d14real_local 1 1 1 8.5287012464300061e-26 0 0 8 8 8 8 0 0 3 3 1.5765166949677223e-14 5.8841820305133297e-15 14 14 0 0 0.001 0 0 1 1 224.72740275999161 224.72740276010526 1.1365841601218563e-10 8 8 1.5765166949677223e-14 0.128354 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold d14real_local 1 1 1 8.5287012464300061e-26 0 0 8 8 8 8 0 0 3 3 1.5765166949677223e-14 5.8841820305133297e-15 14 14 0 0 0.0001 0 0 1 1 224.72742600147134 224.727426001585 1.1365841601218563e-10 8 8 1.5765166949677223e-14 0.128354 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold d14real_nosoft 1 1 1 8.5287012464300061e-26 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 224.72740282159114 224.72740276010526 6.1485877722589066e-08 0 0 0 0.0073619999999999996 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold d14real_nosoft 1 1 1 8.5287012464300061e-26 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 224.72740275591548 224.727426001585 2.3245669524385448e-05 0 0 0 0.0073619999999999996 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold oracle_nosoft 1 1 1 inf 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 224.72740282159114 224.72740276010526 6.1485877722589066e-08 0 0 0 0.0084749999999999999 0 0 0 Unattempted 0 -1 0
149 149 linear 1 23 cold oracle_nosoft 1 1 1 inf 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 224.72740275591548 224.727426001585 2.3245669524385448e-05 0 0 0 0.0084749999999999999 0 0 0 Unattempted 0 -1 0
