# current V2 input; unique geometry/profile rows from merged_final; VBM references are RelTol=1e-6; xs=-time,barycentric=true
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference
115 115 uniform 3 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.4493244209785241 0 1.4508141551690672 4.0719438525947202
115 115 uniform 3 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.4492656483120432 0 1.4507553825025863 4.3550639323632137
115 115 uniform 4 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.4587763760768009 0 1.460266110267344 8.6460005264207673
115 115 uniform 4 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.4587249499936301 0 1.4602146841841732 8.5422691870373075
115 115 uniform 4 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.458666177327149 0 1.4601559115176921 8.4286408120853569
115 115 uniform 4 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.4586074046606681 0 1.4600971388512112 8.3198599887984734
143 143 linear 0 0 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0075060939870912 -0.13763693780860922 2.0074054906816357 0.5 -2.0070063187593337 3.0153275413133347
143 143 linear 0 7 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0075060939870912 -0.13763693780860922 2.007466727476261 0.5 -2.007067555553959 2.889802790876943
143 143 linear 0 15 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0075060939870912 -0.13763693780860922 2.0075367123844039 0.5 -2.0071375404621019 2.7364336624511072
143 143 linear 0 23 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0075060939870912 -0.13763693780860922 2.0076066972925468 0.5 -2.0072075253702448 2.5714731047696024
143 143 linear 1 0 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0049529724172559 -0.13728338794617442 2.0048523691118003 0.5 -2.0044531971894983 2.4817392766632391
143 143 linear 1 7 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0049529724172559 -0.13728338794617442 2.0049136059064256 0.5 -2.0045144339841237 2.6105304997162118
143 143 linear 1 15 0.41270856575091047 0.0009681368609995699 0.00050301652727690401 2.0049529724172559 -0.13728338794617442 2.0049835908145686 0.5 -2.0045844188922666 2.7525447541846844
