row profile bin epoch event_index X Y rho q a radius topology old_decision old_p4_steps old_probe_ms fast_screen fast_screen_ms p4_interval_lo p4_interval_hi p3_interval_lo p3_interval_hi p3_qf_gate_hi d14_gap overlap_budget fast_reject_old_accept
89 rand030 0 0 12 -0.41809005236225927 0.00078112711953831258 0.0035031939953417339 0.0015084990288262471 0.40395044204743341 1.2325376442666749 OK no_coincident_d14_event 2 0.0094579999999999994 no_d14_overlap 0.0047530000000000003 1.2325376442666707 1.2325376442666791 nan nan nan 5.364096842641608e-05 9.7204840734409249e-14 0
90 rand030 0 0 11 -0.41809005236225927 0.00078112711953831258 0.0035031939953417339 0.0015084990288262471 0.40395044204743341 1.2284232810609115 OK no_coincident_d14_event 3 0.012037000000000001 no_d14_overlap 0.0054349999999999997 1.2284232810609073 1.2284232810609157 nan nan nan 5.2618531061421336e-05 9.7084883422264974e-14 0
90 rand030 0 0 12 -0.41809005236225927 0.00078112711953831258 0.0035031939953417339 0.0015084990288262471 0.40395044204743341 1.2325376442666749 OK no_coincident_d14_event 2 0.0089110000000000005 no_d14_overlap 0.0049020000000000001 1.2325376442666707 1.2325376442666791 nan nan nan 5.364096842641608e-05 9.7204840734409249e-14 0
91 rand031 0 0 11 -0.50938924467663105 0.030778486889686232 0.26289050320465907 6.4509514107489868e-08 0.43762549427231912 1.1318308890495363 OK no_coincident_d14_event 2 0.013707 no_d14_overlap 0.0062719999999999998 1.1318308890495323 1.1318308890495403 nan nan nan 0.00049352137329483625 9.2550674471460675e-14 0
91 rand031 0 0 12 -0.50938924467663105 0.030778486889686232 0.26289050320465907 6.4509514107489868e-08 0.43762549427231912 1.4568732853931508 OK no_coincident_d14_event 3 0.013535999999999999 no_d14_overlap 0.0045580000000000004 1.4568732853931461 1.4568732853931554 nan nan nan 0.0018611819016440823 1.0718493022337725e-13 0
92 rand031 0 0 11 -0.50938924467663105 0.030778486889686232 0.26289050320465907 6.4509514107489868e-08 0.43762549427231912 1.1318308890495363 OK no_coincident_d14_event 2 0.010266000000000001 no_d14_overlap 0.0051659999999999996 1.1318308890495323 1.1318308890495403 nan nan nan 0.00049352137329483625 9.2550674471460675e-14 0
92 rand031 0 0 12 -0.50938924467663105 0.030778486889686232 0.26289050320465907 6.4509514107489868e-08 0.43762549427231912 1.4568732853931508 OK no_coincident_d14_event 3 0.011605000000000001 no_d14_overlap 0.0047689999999999998 1.4568732853931461 1.4568732853931554 nan nan nan 0.0018611819016440823 1.0718493022337725e-13 0
95 rand033 0 0 4 0.14772949073990987 0.0025702291249036745 0.022382854740423824 0.24663546751963286 0.43908016259363308 0.88539681068928811 OK no_coincident_d14_event 3 0.016219000000000001 no_d14_overlap 0.0058809999999999999 0.88539681068928466 0.88539681068929155 nan nan nan 7.5622729130420119e-05 8.11175819978915e-14 0
95 rand033 0 0 6 0.14772949073990987 0.0025702291249036745 0.022382854740423824 0.24663546751963286 0.43908016259363308 0.90646761403215981 OK no_coincident_d14_event 2 0.015171 no_d14_overlap 0.0051489999999999999 0.90646761403215625 0.90646761403216336 nan nan nan 6.7780102963488353e-05 8.2608704421293382e-14 0
96 rand033 0 0 4 0.14772949073990987 0.0025702291249036745 0.022382854740423824 0.24663546751963286 0.43908016259363308 0.88539681068928811 OK no_coincident_d14_event 3 0.01375 no_d14_overlap 0.0060270000000000002 0.88539681068928466 0.88539681068929155 nan nan nan 7.5622729130420119e-05 8.11175819978915e-14 0
