polynomial_l1_sample	polynomial_l1_upper	name	panel	kind	q7	hermite	q15	reference	reference_uncertainty	estimate	error7	errorH	error15	fd_max_scaled	base_us	derivative_us
0.0010842485236902707	0.16508559562719077	rand004	10	3	1.2022953547699686	1.2024778845117226	1.2024779440336986	1.2024779442149434	6.661338147750939e-16	0.0001825297417539229	0.0001825894449747345	5.970322081161328e-08	1.812447969484765e-10	2.2766388709744337e-10	8.24	0.8919999999999999
0.0007053769980728278	0.08270767366612862	rand005	2	3	0.23447042627311823	0.23449627627854439	0.2344963169068021	0.2344963169551581	1.942890293094024e-16	2.5850005426153455e-05	2.589068203986966e-05	4.0676613716206234e-08	4.8356013637729234e-11	5.3745303531614864e-11	8.541	0.8359999999999996
0.0011798565597792112	0.15698017002315934	rand005	7	3	1.2343556820247976	1.2344968628621151	1.2344966958419117	1.2344966976480225	0.0	0.00014118083731751163	0.0001410156232248827	1.6521409262892917e-07	1.8061108164602047e-09	1.3237347263072213e-10	17.567999999999998	0.8939999999999999
4.0540055451340515e-17	4.496734043516896e-15	rand005	10	3	4.3731278868547706e-14	4.373898156735472e-14	4.373898115677522e-14	4.3738981178357625e-14	3.482849295543355e-23	7.702698807013555e-18	7.702309809919316e-18	3.8899709423970566e-22	2.158240764061821e-23	1.71856404127102e-17	16.232999999999997	0.7889999999999999
8.616760154452001e-15	9.557826765413862e-13	rand006	2	3	9.295082146555073e-12	9.296719339709294e-12	9.296719236788917e-12	9.29671923665082e-12	4.499733285317759e-23	1.637193154220919e-15	1.6370900957463957e-15	1.030584745232472e-19	1.3809715703087441e-22	3.063637966417916e-17	12.969999999999999	0.893
3.96410355653259e-08	3.256285356881916e-06	rand006	5	1	0.0470269398435944	0.04702693867252985	0.0470269386725143	0.0470269386725144	1.0408340855860843e-16	1.171064550886669e-09	1.1710799968644992e-09	1.544597783009749e-14	1.0408340855860843e-16	5.754158693802942e-12	51.269000000000005	0.975
3.653465144989995e-05	0.003390119402619832	rand006	6	0	0.4023171799950178	0.40231147258028727	0.4023113404199336	0.4023113386682661	0.0	5.707414730549143e-06	5.841326751687692e-06	1.3391202113854916e-07	1.7516674777340313e-09	2.3851797296779286e-11	40.361000000000004	1.1209999999999998
1.1009523613645665e-08	8.489842577557656e-07	rand006	7	2	0.036140358687260905	0.03614035858902142	0.0361403585890222	0.0361403585890222	0.0	9.823948599052557e-11	9.823870189551442e-11	7.840950111415168e-16	0.0	5.6942709460201734e-12	52.768	0.887
0.002724234904518878	0.22885351833898562	rand006	12	3	1.485489730326858	1.4854964284222025	1.4854945629927656	1.4854945658871423	4.440892098500626e-16	6.698095344592758e-06	4.835560284410789e-06	1.862535060181969e-06	2.8943767382827446e-09	1.3492098104717571e-10	8.252	0.9849999999999999
0.0010245498006818117	0.11835458510539146	rand007	2	3	1.1052314226332651	1.1054260763116637	1.1054260641813674	1.1054260641889635	1.234568003383174e-13	0.00019465367839854864	0.0001946415556983716	1.2122700177030765e-08	7.596145934485321e-12	8.801001090963521e-09	90.344	0.8659999999999998
0.0019512423814308695	0.22288322097025062	rand007	6	3	2.105055342374546	2.10542608533152	2.1054260622280827	2.105426062242605	1.545430450278218e-13	0.000370742956973924	0.00037071986805869983	2.3088915224178663e-08	1.4522161251306898e-11	1.2893596642463118e-08	74.09300000000002	0.8359999999999999
		rand007	11	3										2.0433985796375813e-18	1350.803	0.6369999999999999
