lane	row	case	u	mu_reference	policy	topology_status	topology_events	topology_cells	chart_events	projective_promotions	event_identity_unchanged	cell_plan_unchanged	value_converged	value_stop	mu	value_error	numerical_status	stop	wall_ms	grad_x	grad_y	grad_rho	grad_q	grad_a	quality_x	quality_y	quality_rho	quality_q	quality_a	gradient_a_error	nodes	panels	splits
projective_fold	35	rand003	0	4.4065583349438384	None	0	14	14	2	0	1	1	1	Converged	2.1559988418171221	7.0184934165962253e-06	0	Converged	0.415269	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	115	5	0
projective_fold	35	rand003	0	4.4065583349438384	ValueFirst	0	14	14	2	0	1	1	1	Converged	2.1559988418171221	7.0184934165986021e-06	0	Converged	0.60351999999999995	3.6470416302955275	-0.33179517687734406	0.6122583778023184	-0.62481991303272755	-2.0949289568761925e-06	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	6.5743085626728402e-09	179	5	0
projective_fold	36	rand003	0.5	4.4068305459804833	None	0	14	14	2	0	1	1	1	Converged	2.1496379563436308	0.00018594111818236731	0	Converged	0.41006199999999998	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	83	5	0
projective_fold	36	rand003	0.5	4.4068305459804833	ValueFirst	0	14	14	2	0	1	1	1	Converged	2.1496379563436308	0.00018594111818233077	0	Converged	0.800902	3.6079531440155868	-0.3282390406851835	0.55707534212747378	-0.62052855307112487	-2.0911629220834573e-06	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	2.0589348742620902e-08	179	5	0
projective_fold	37	rand004	0	0.013296436984091997	None	0	10	11	0	0	1	1	1	Converged	1.3953116562280516	6.6303677404879659e-05	0	Converged	0.22664300000000001	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	53	3	0
projective_fold	37	rand004	0	0.013296436984091997	ValueFirst	0	10	11	0	0	1	1	1	Converged	1.3953116562280516	6.6303677404880838e-05	0	Converged	0.248582	-0.75207811818434145	0.4305989090826286	0.044974781501050935	0.097789563969420859	0.10846050155666266	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	4.0464583969854987e-06	77	3	0
projective_fold	38	rand004	0.5	0.013310419046320021	None	0	10	11	0	0	1	1	1	Converged	1.3950903758156228	7.8801435508804323e-06	0	Converged	0.25624200000000003	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	69	3	0
projective_fold	38	rand004	0.5	0.013310419046320021	ValueFirst	0	10	11	0	0	1	1	1	Converged	1.3950903758156228	7.8801435508864665e-06	0	Converged	0.326712	-0.75146096951882435	0.43024348423289865	0.041351250197350066	0.097689526447681738	0.10832911748703043	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.6969615651018575e-07	93	3	0
projective_fold	39	rand005	0	0.025239364942535758	None	0	10	10	0	0	1	1	1	Converged	1.4689930145548684	9.9974264659155501e-05	0	Converged	0.63048999999999999	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	53	3	0
projective_fold	39	rand005	0	0.025239364942535758	ValueFirst	0	10	10	0	0	1	1	1	Converged	1.4689930145548684	9.9974264659132936e-05	0	Converged	0.65412300000000001	0.96796877660484826	0.45609615821044541	0.092894765020692244	-0.55124168261546291	1.96267930759389e-07	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.6444923178509709e-07	69	3	0
projective_fold	40	rand005	0.5	0.027329299075063318	None	0	10	10	0	0	1	1	1	Converged	1.4682484776243496	2.106693560367315e-08	0	Converged	0.65117599999999998	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	69	3	0
projective_fold	40	rand005	0.5	0.027329299075063318	ValueFirst	0	10	10	0	0	1	1	1	Converged	1.4682484776243496	2.1066935609875374e-08	0	Converged	0.67853600000000003	0.96563520817071458	0.45499660734193015	0.085298121144270447	-0.55062215474353715	1.9561976901782338e-07	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	5.2398899439593367e-07	69	3	0
projective_fold	41	rand006	0	0.029523028060793877	None	0	12	13	2	0	1	1	1	Converged	1.9709732048472273	9.6830215302282289e-05	0	Converged	0.296879	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	67	5	0
