name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
resonant,0.0,0,0,1.0e-03,Converged,13.730120074185391,0.010819484,119,50,0,1.162433,0.425388,0.173138,0.005828,0.001667,1.153469,13.73129716122153,0,1.6859411e-13,2.4435236e-13,6.0973982e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-04,Converged,13.730116144653453,0.00071444952,151,79,0,1.185475,0.412363,0.216388,0.008060,0.002012,1.154476,13.73129716122153,0,1.6787092e-13,2.4413597e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-05,Converged,13.730115998776759,0.00012832068,191,116,0,1.241123,0.407886,0.268159,0.009318,0.002446,1.150470,13.73129716122153,0,1.6844708e-13,2.438236e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-06,Converged,13.730115998934352,3.1327018e-06,287,208,0,1.402869,0.406677,0.388775,0.017264,0.003349,1.149564,13.73129716122153,0,1.6671213e-13,2.4381428e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-08,Converged,13.730115998899567,8.4047373e-08,319,238,0,1.459837,0.404024,0.452985,0.017767,0.003487,1.147210,13.73129716122153,0,1.6647403e-13,2.4381495e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-03,Converged,13.807811515694056,0.011128461,119,50,0,1.098601,0.374305,0.178725,0.005476,0.001429,1.077614,13.809001913125051,0,1.7035902e-13,2.7770604e-13,6.1319001e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-04,Converged,13.807807472466953,0.0012349007,143,72,0,1.139152,0.377953,0.211990,0.007288,0.001802,1.057448,13.809001913125051,0,1.7267729e-13,2.7745653e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-05,Converged,13.807807455680088,8.3226784e-05,199,124,0,1.227358,0.378561,0.280093,0.009885,0.002667,1.053849,13.809001913125051,0,1.7332343e-13,2.7710636e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-06,Converged,13.807807455906003,9.504574e-06,279,201,0,1.362468,0.380885,0.399490,0.015702,0.003194,1.053100,13.809001913125051,0,1.7089314e-13,2.7719658e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-08,Converged,13.807807455844568,6.8078147e-08,311,230,0,1.504310,0.405765,0.480744,0.018942,0.003899,1.052246,13.809001913125051,0,1.7112126e-13,2.7689308e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,1,0,1.0e-03,Converged,13.730115998971408,0.00045245638,207,132,0,1.347815,0.406847,0.305225,0.054018,0.008526,1.904268,13.73129716122153,0,1.6785714e-13,2.4407908e-13,6.0973964e-15,155.5284710866076,-93.34450298030329,-97.151215129125376,-42.286494926786773,-2.8705635310822366,0.023551525,0.0092062146,0.042079511,0.006887497,0.0022730091
resonant,0.0,1,0,1.0e-04,Converged,13.730115998900184,7.9718022e-05,271,193,0,1.476275,0.413115,0.387744,0.082776,0.009544,1.870909,13.73129716122153,0,1.6586122e-13,2.4376634e-13,6.0973964e-15,155.52847192271432,-93.344503178240558,-97.151214263075047,-42.286494694383286,-2.8705634761922258,0.00096470869,0.0010918292,0.0042879696,0.00059011677,0.00028038683
resonant,0.0,1,0,1.0e-05,Converged,13.730115998899567,8.4047373e-08,319,238,0,1.716491,0.412918,0.590513,0.100580,0.015588,1.882883,13.73129716122153,0,1.6647403e-13,2.4381495e-13,6.0973964e-15,155.52847192263206,-93.344503178725617,-97.15121426252999,-42.286494694558911,-2.8705634762250032,0.00020546692,9.1608422e-05,0.00024514354,7.2570058e-05,1.8470266e-05
