name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.5,0,1,1.0e-04,0,0,Converged,6.1294554772635719,0.00044604833,176,285,0,0,1.010982,0.168202,0.385285,0.008672,0.001984,0.832261,6.1299183453595569,0,1.303405e-09,5.4705783e-14,1.014538e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-05,1,0,Converged,6.1294554708994573,5.994416e-05,208,208,139,0,0.924927,0.167995,0.312501,0.009992,0.002396,0.818132,6.1299183453595569,0,1.2016458e-09,5.4726271e-14,1.0076736e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-05,0,0,Converged,6.1294554708994573,5.994416e-05,208,347,0,0,1.111308,0.171278,0.474955,0.010586,0.002371,0.823933,6.1299183453595569,0,1.2016458e-09,5.4676524e-14,1.0076736e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-06,1,0,Converged,6.1294554709811564,1.2757245e-06,264,264,192,0,1.037042,0.176830,0.405013,0.014806,0.002960,0.818589,6.1299183453595569,0,1.4692614e-09,5.4686454e-14,1.0076705e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-06,0,0,Converged,6.1294554709811564,1.2757245e-06,264,456,0,0,1.328276,0.179118,0.651934,0.015104,0.003076,0.817509,6.1299183453595569,0,1.4692614e-09,5.4632717e-14,1.0076705e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-08,1,0,Converged,6.1294554709774953,3.5056236e-08,328,328,254,0,1.127199,0.170821,0.482364,0.020654,0.003436,0.816012,6.1299183453595569,0,1.5184707e-09,5.4847857e-14,1.0053479e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-08,0,0,Converged,6.1294554709774953,3.5056236e-08,328,582,0,0,1.482468,0.168201,0.796387,0.020062,0.003388,0.819938,6.1299183453595569,0,1.5184707e-09,5.4869434e-14,1.0053479e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,1,0,1.0e-03,1,0,Converged,6.1205016226286428,0.00012894639,192,192,124,0,1.206660,0.286743,0.393424,0.050682,0.008058,1.139303,6.1209627244296385,0,1.0463036e-09,5.4378056e-14,1.0031107e-14,2.7180487e-15,7.3097580190204416,-17.352260827660881,-11.441453803023546,-5.4831820988711133,1.3006760599181297,0.0051925738,0.0056933255,0.0081947592,0.0039577976,0.00097544225
plan15,0.5,1,0,1.0e-03,0,0,Converged,6.1205016226286428,0.00012894639,192,316,0,0,1.416280,0.284908,0.598071,0.048208,0.007450,1.149020,6.1209627244296385,0,1.0463037e-09,5.455345e-14,1.0031107e-14,2.7180487e-15,7.3097580190210358,-17.35226082766048,-11.441453803022863,-5.4831820988709206,1.3006760599181899,0.0051925738,0.0056933255,0.0081947592,0.0039577976,0.00097544225
plan15,0.5,1,0,1.0e-04,1,0,Converged,6.1205016227170841,1.2802636e-06,264,264,192,0,1.415497,0.296537,0.562876,0.077186,0.010165,1.137959,6.1209627244296385,0,1.3175022e-09,5.4680495e-14,9.9922099e-15,2.7180487e-15,7.3097580436534182,-17.352260795280948,-11.441453834829305,-5.4831820636860389,1.3006760644026507,4.597871e-05,7.6206534e-05,8.72247e-05,4.4513074e-05,9.436744e-06
plan15,0.5,1,0,1.0e-04,0,0,Converged,6.1205016227170841,1.2802636e-06,264,456,0,0,1.824395,0.282923,0.938139,0.073661,0.009567,1.136407,6.1209627244296385,0,1.3175022e-09,5.4843946e-14,9.9922099e-15,2.7180487e-15,7.3097580436538028,-17.352260795280372,-11.441453834828899,-5.483182063685704,1.3006760644027633,4.5978711e-05,7.6206535e-05,8.7224702e-05,4.4513075e-05,9.4367441e-06
plan15,0.5,1,0,1.0e-05,1,0,Converged,6.1205016227170841,1.2802636e-06,264,264,192,0,1.395755,0.287347,0.564882,0.077742,0.010310,1.140432,6.1209627244296385,0,1.3175022e-09,5.4680495e-14,9.9922099e-15,2.7180487e-15,7.3097580436534182,-17.352260795280948,-11.441453834829305,-5.4831820636860389,1.3006760644026507,4.597871e-05,7.6206534e-05,8.72247e-05,4.4513074e-05,9.436744e-06
