name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.5,1,0,1.0e-05,Converged,6.1205016227170841,1.2792916e-06,264,192,0,1.202059,0.281593,0.612854,0.077184,0.009853,1.154225,6.1209627244296385,3.4549268e-10,5.4842796e-14,9.9922099e-15,2.7180487e-15,7.3097580436534804,-17.352260795281094,-11.441453834828945,-5.4831820636861011,1.3006760644026207,4.5937417e-05,7.6028476e-05,8.7016669e-05,4.4462696e-05,9.4045467e-06
plan15,0.5,1,0,1.0e-06,Converged,6.1205016227172306,3.5058356e-08,328,254,0,1.396615,0.287312,0.746450,0.111779,0.010591,1.158968,6.1209627244296385,3.6747285e-10,5.469266e-14,9.9628559e-15,2.7180487e-15,7.3097580436824199,-17.352260795228055,-11.441453834841944,-5.48318206369491,1.3006760644003441,2.1275644e-06,3.3553366e-06,3.8021517e-06,1.892321e-06,1.0481566e-06
plan15,0.5,1,0,1.0e-08,EventLocationLimited,6.1205016227172306,2.807081e-08,344,269,0,1.479472,0.281345,0.824865,0.113693,0.011497,1.189293,6.1209627244296385,3.6747285e-10,5.4748876e-14,9.9628559e-15,2.7180487e-15,7.3097580436824163,-17.352260795228062,-11.441453834841937,-5.4831820636949145,1.3006760644003437,1.621912e-06,2.3111581e-06,2.8096777e-06,1.4594039e-06,1.0010125e-06
plan15,0.5,1,1,1.0e-03,Converged,6.1294554709021982,0.00012942339,192,124,0,1.245789,0.210549,0.435128,0.050518,0.008117,1.283361,6.1299183453595569,4.9311223e-10,5.4544256e-14,1.011968e-14,2.722025e-15,7.0163497021028141,-17.157592863767597,-11.717657196903344,-5.4053773485881491,1.2888219039088393,0.0050785659,0.0054880705,0.0079364895,0.0038525343,0.00095903413
plan15,0.5,1,1,1.0e-04,Converged,6.1294554709811573,1.2747764e-06,264,192,0,1.101414,0.172997,0.622123,0.071909,0.009427,1.147977,6.1299183453595569,5.2117436e-10,5.4684582e-14,1.0077674e-14,2.722025e-15,7.016349721391518,-17.157592837956258,-11.71765722031769,-5.4053773182677185,1.2888219076624601,4.7484441e-05,7.5129705e-05,8.739691e-05,4.6631654e-05,1.0125956e-05
plan15,0.5,1,1,1.0e-05,Converged,6.1294554709811573,1.2747764e-06,264,192,0,1.102411,0.170879,0.622825,0.074059,0.009245,1.169587,6.1299183453595569,5.2117436e-10,5.4684582e-14,1.0077674e-14,2.722025e-15,7.016349721391518,-17.157592837956258,-11.71765722031769,-5.4053773182677185,1.2888219076624601,4.7484441e-05,7.5129705e-05,8.739691e-05,4.6631654e-05,1.0125956e-05
plan15,0.5,1,1,1.0e-06,InnerAccuracyLimited,6.1294554709774953,3.4111519e-08,328,254,0,1.288200,0.171594,0.760869,0.103039,0.010294,1.148824,6.1299183453595569,5.737527e-10,5.4919256e-14,1.0054449e-14,2.722025e-15,7.0163497197298188,-17.157592836471515,-11.717657222361685,-5.4053773180106033,1.2888219074180609,6.4213599e-05,9.6666266e-05,5.8134914e-05,1.5910553e-05,2.8352219e-06
plan15,0.5,1,1,1.0e-08,EventLocationLimited,6.1294554709774953,3.4111519e-08,328,254,0,1.273925,0.174142,0.750637,0.096136,0.009682,1.151758,6.1299183453595569,5.737527e-10,5.4919256e-14,1.0054449e-14,2.722025e-15,7.0163497197298188,-17.157592836471515,-11.717657222361685,-5.4053773180106033,1.2888219074180609,6.4213599e-05,9.6666266e-05,5.8134914e-05,1.5910553e-05,2.8352219e-06
resonant,0.0,0,0,1.0e-03,Converged,13.730120074185391,0.010819484,119,50,0,0.774352,0.406971,0.171714,0.005932,0.001629,1.139917,13.73129716122153,0,1.6907485e-13,2.4435821e-13,6.0973982e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-04,Converged,13.730116144653451,0.00071444952,151,79,0,0.810070,0.396268,0.214466,0.007154,0.002004,1.140595,13.73129716122153,0,1.6835165e-13,2.4414181e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-05,Converged,13.730115998776759,0.00012832068,191,116,0,0.864436,0.397674,0.271044,0.008379,0.002210,1.143795,13.73129716122153,0,1.6902411e-13,2.4382507e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-06,Converged,13.730115998934352,3.1327018e-06,287,208,0,1.022437,0.400891,0.389769,0.015220,0.002996,1.142554,13.73129716122153,0,1.6728917e-13,2.4381574e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,0,1.0e-08,Converged,13.730115998899567,8.4047372e-08,319,238,0,1.100790,0.407370,0.450716,0.015865,0.003404,1.132730,13.73129716122153,0,1.6705107e-13,2.4381641e-13,6.0973964e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-03,Converged,13.807811515694057,0.011128461,119,50,0,0.728455,0.367901,0.186209,0.004892,0.001418,1.148112,13.809001913125051,0,1.6840176e-13,2.8680969e-13,6.1319001e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-04,Converged,13.807807472466955,0.0012349007,143,72,0,0.769276,0.371907,0.213167,0.006384,0.001755,1.148777,13.809001913125051,0,1.7072003e-13,2.8656018e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-05,Converged,13.80780745568009,8.3226784e-05,199,124,0,0.855787,0.372351,0.282468,0.008735,0.002407,1.184531,13.809001913125051,0,1.7132137e-13,2.8620956e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-06,Converged,13.807807455906003,9.504574e-06,279,201,0,1.002458,0.376203,0.394848,0.015222,0.002914,1.143852,13.809001913125051,0,1.7026392e-13,2.8631355e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,0,1,1.0e-08,Converged,13.80780745584457,6.8078157e-08,311,230,0,1.085620,0.379283,0.464305,0.016655,0.003470,1.145217,13.809001913125051,0,1.7049204e-13,2.8601005e-13,6.1318983e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.0,1,0,1.0e-03,Converged,13.730115998971407,0.00045245638,207,132,0,0.968828,0.401955,0.304946,0.052155,0.008616,1.868885,13.73129716122153,0,1.6833787e-13,2.4408492e-13,6.0973964e-15,155.5284710866145,-93.344502980303972,-97.151215129118356,-42.286494926779397,-2.8705635310716437,0.023551535,0.0092062155,0.042079521,0.0068875075,0.0022730242
