sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
205 35 0.061609999999999998 0.044341999999999999 0.195217 0.183171 14 14 14 0 1 3 0.010426999999999999
206 35 0.061169000000000001 0.044767000000000001 0.19964399999999999 0.18192900000000001 14 14 14 0 1 2 0.010971
207 36 0.062948000000000004 0.045395999999999999 0.193415 0.175314 14 14 14 0 2 2 0.021248999999999997
208 36 0.062377000000000002 0.043776000000000002 0.19153500000000001 0.173986 14 14 14 0 2 3 0.018019
209 37 0.061203 0.043125999999999998 0.19003800000000001 0.17842 14 14 14 0 2 3 0.011229000000000001
210 38 0.062950000000000006 0.044546000000000002 0.18584600000000001 0.17771100000000001 14 14 14 0 1 3 0.010467000000000001
211 38 0.060269000000000003 0.043845000000000002 0.18652299999999999 0.17860100000000001 14 14 14 0 2 3 0.0098580000000000004
212 40 0.059247000000000001 0.046016000000000001 0.185335 0.162268 14 14 14 3 5 6 0.17003599999999999
213 39 0.058469 0.043469000000000001 0.181925 0.164684 14 14 14 4 5 6 0.19234699999999999
214 38 0.060843000000000001 0.043574000000000002 0.180094 0.179419 14 14 14 4 5 6 0.214138
215 39 0.064322000000000004 0.044505999999999997 0.18101900000000001 0.16559299999999999 14 14 14 3 5 6 0.13519999999999999
216 37 0.063836000000000004 0.046586000000000002 0.204711 0.19014800000000001 14 14 14 0 2 3 0.013382999999999999
217 37 0.059999999999999998 0.043866000000000002 0.19259100000000001 0.18429899999999999 14 14 14 0 2 3 0.012841000000000002
218 39 0.059271999999999998 0.045295000000000002 0.196987 0.183923 14 14 14 0 2 3 0.012788000000000001
219 39 0.060622000000000002 0.043765999999999999 0.19012999999999999 0.17935100000000001 14 14 14 0 2 3 0.013310000000000002
220 35 0.058566 0.045004000000000002 0.187863 0.17613200000000001 14 14 14 0 4 5 0.019438999999999998
221 35 0.060742999999999998 0.042195999999999997 0.187559 0.17597199999999999 14 14 14 0 5 5 0.018006000000000001
222 35 0.062548000000000006 0.041315999999999999 0.188 0.173569 14 14 14 0 2 5 0.063746999999999998
223 35 0.061721999999999999 0.039378000000000003 0.18714800000000001 0.182863 14 14 14 0 3 6 0.019909000000000003
224 38 0.060921000000000003 0.045156000000000002 0.19291700000000001 0.17667099999999999 14 14 14 0 1 3 0.026819999999999997
225 35 0.060644000000000003 0.043826999999999998 0.197239 0.18476899999999999 14 14 14 0 1 3 0.01057
226 35 0.062009000000000002 0.043053000000000001 0.193802 0.18113299999999999 14 14 14 0 1 2 0.011065
227 36 0.064056000000000002 0.043813999999999999 0.18885199999999999 0.17805299999999999 14 14 14 0 2 2 0.025245
228 36 0.06123 0.046123999999999998 0.19248599999999999 0.17627000000000001 14 14 14 0 2 3 0.017835999999999998
229 37 0.061919000000000002 0.045372999999999997 0.19833799999999999 0.18027799999999999 14 14 14 0 2 3 0.01094
230 38 0.059096999999999997 0.043956000000000002 0.18665799999999999 0.17666999999999999 14 14 14 0 1 3 0.010759000000000001
231 38 0.059124999999999997 0.043816000000000001 0.19272900000000001 0.17666100000000001 14 14 14 0 2 3 0.010012999999999999
232 40 0.059094000000000001 0.045054999999999998 0.18539 0.16444400000000001 14 14 14 3 5 6 0.17002600000000001
233 39 0.066062999999999997 0.043242999999999997 0.18182200000000001 0.16539300000000001 14 14 14 4 5 6 0.19217400000000001
234 38 0.064634999999999998 0.043498000000000002 0.19122400000000001 0.16822500000000001 14 14 14 4 5 6 0.21274000000000001
235 39 0.062113000000000002 0.044409999999999998 0.17733099999999999 0.167688 14 14 14 3 5 6 0.13197800000000001
236 37 0.06148 0.046025999999999997 0.195516 0.18451000000000001 14 14 14 0 2 3 0.013436
