sample	stage	finite	max_scaled_root_error	nearest_assignment_duplicates	positive_real_candidate_count_delta
149	2	True	2.035908310755666	7	-4
149	4	True	1.6517945584166014	7	-4
150	0	True	2.4662133449067625	7	-4
150	2	True	2.020255890352727	7	-4
150	4	True	1.6385428602024354	7	-4
151	0	True	2.448597185746545	7	-4
151	2	True	2.004924951309915	7	-4
151	4	True	1.6255698325201093	7	-4
152	0	True	2.4327388322029844	7	-4
152	2	True	1.9918767074628398	7	-4
152	4	True	1.615105437981419	7	-4
153	0	True	2.418544970190905	7	-4
153	2	True	1.9795720190132446	7	-4
153	4	True	1.6047651526517381	7	-4
154	0	True	2.401867358987836	7	-4
154	2	True	1.9650547853176428	7	-4
154	4	True	1.5924899843610518	7	-4
155	0	True	2.385444210936424	7	-4
155	2	True	1.9507736309637753	7	-4
155	4	True	1.5804295211457404	7	-4
156	0	True	2.768140273392335	7	-4
156	2	True	2.28540868420768	7	-4
156	4	True	1.863166553240555	7	-4
157	0	True	2.75320278076645	7	-4
157	2	True	2.2691031904897034	7	-4
157	4	True	1.849157088445727	7	-4
158	0	True	2.732349133254182	7	-4
158	2	True	2.2508295339615874	7	-4
158	4	True	1.83347531938397	7	-4
159	0	True	2.711918776317492	7	-4
159	2	True	2.232932037086581	7	-4
159	4	True	1.8181359660268874	7	-4
160	0	True	0.0001731084829194383	0	0
160	2	True	7.157551382031847e-08	0	0
160	4	True	3.755012135969312e-72	0	0
161	0	True	0.00016821126064461487	0	0
161	2	True	3.7006224140041856e-08	0	0
161	4	True	6.1312857340419955e-74	0	0
162	0	True	0.00016185689516204742	0	0
162	2	True	1.8503697961391862e-08	0	0
162	4	True	9.761047630466209e-75	0	0
163	0	True	0.00015442513444683385	0	0
163	2	True	9.614056267526078e-09	0	0
163	4	True	8.670116245923914e-75	0	0
164	0	True	0.23800399831592822	5	-6
164	2	True	0.20835693910603406	5	-6
164	4	True	0.23758262748008604	5	-6
165	0	True	0.2412982017887699	5	-6
165	2	True	0.21052831283905585	5	-6
165	4	True	0.2400105856451848	5	-6
166	0	True	0.24517858957851157	5	-6
166	2	True	0.21309383271864335	5	-6
166	4	True	0.24272165427189238	5	-6
167	0	True	0.24918824570602702	6	-6
167	2	True	0.2157573264408064	5	-6
167	4	True	0.24536469063997002	5	-6
168	0	True	0.00020286265457968356	3	-2
168	2	True	0.0019843218694260757	2	-2
168	4	True	0.0014677921835806547	4	-2
169	0	True	0.00020286068145653618	3	-2
169	2	True	0.0029479532219553535	2	-2
169	4	True	0.0022310486522829427	4	-2
170	0	True	0.00020285842663475328	3	-2
170	2	True	0.007031892243216545	2	-2
170	4	True	0.005497547360208322	2	-2
171	0	True	0.00020285617200066302	3	-2
171	2	True	0.017743491021221594	3	-3
171	4	True	0.01464389069357382	3	-3
172	0	True	0.009350431218254117	6	-4
172	2	True	0.0035239305036308625	6	-4
